0.300000E+03  0.842452E+00  0.267812E+01
0.300801E+03  0.863178E+00  0.259731E+01
0.301602E+03  0.880959E+00  0.251098E+01
0.302402E+03  0.895752E+00  0.241972E+01
0.303203E+03  0.907658E+00  0.232439E+01
0.304004E+03  0.916781E+00  0.222588E+01
0.304805E+03  0.923222E+00  0.212506E+01
0.305606E+03  0.927084E+00  0.202281E+01
0.306406E+03  0.928470E+00  0.192001E+01
0.307207E+03  0.927482E+00  0.181754E+01
0.308008E+03  0.924223E+00  0.171628E+01
0.308809E+03  0.918795E+00  0.161710E+01
0.309610E+03  0.911300E+00  0.152089E+01
0.310410E+03  0.901841E+00  0.142852E+01
0.311211E+03  0.890503E+00  0.134084E+01
0.312012E+03  0.877075E+00  0.125809E+01
0.312813E+03  0.861119E+00  0.118007E+01
0.313614E+03  0.842192E+00  0.110656E+01
0.314414E+03  0.819848E+00  0.103734E+01
0.315215E+03  0.793644E+00  0.972180E+00
0.316016E+03  0.763133E+00  0.910865E+00
0.316817E+03  0.727873E+00  0.853172E+00
0.317618E+03  0.687418E+00  0.798881E+00
0.318418E+03  0.641323E+00  0.747770E+00
0.319219E+03  0.589145E+00  0.699618E+00
0.320020E+03  0.530439E+00  0.654204E+00
0.320821E+03  0.464801E+00  0.611315E+00
0.321622E+03  0.392565E+00  0.570863E+00
0.322422E+03  0.314689E+00  0.532870E+00
0.323223E+03  0.232155E+00  0.497361E+00
0.324024E+03  0.145943E+00  0.464361E+00
0.324825E+03  0.570336E-01  0.433895E+00
0.325626E+03 -0.335932E-01  0.405990E+00
0.326426E+03 -0.124957E+00  0.380668E+00
0.327227E+03 -0.216077E+00  0.357957E+00
0.328028E+03 -0.305973E+00  0.337881E+00
0.328829E+03 -0.393665E+00  0.320465E+00
0.329630E+03 -0.478173E+00  0.305734E+00
0.330430E+03 -0.558515E+00  0.293714E+00
0.331231E+03 -0.633711E+00  0.284430E+00
0.332032E+03 -0.702858E+00  0.277891E+00
0.332833E+03 -0.765964E+00  0.273926E+00
0.333634E+03 -0.823653E+00  0.272241E+00
0.334434E+03 -0.876557E+00  0.272540E+00
0.335235E+03 -0.925311E+00  0.274527E+00
0.336036E+03 -0.970546E+00  0.277906E+00
0.336837E+03 -0.101290E+01  0.282381E+00
0.337638E+03 -0.105299E+01  0.287657E+00
