0.389690E+03 -0.164171E+01  0.569821E+01
0.390490E+03 -0.164271E+01  0.570355E+01
0.391291E+03 -0.164351E+01  0.570874E+01
0.392092E+03 -0.164418E+01  0.571375E+01
0.392893E+03 -0.164476E+01  0.571852E+01
0.393694E+03 -0.164534E+01  0.572303E+01
0.394494E+03 -0.164595E+01  0.572722E+01
0.395295E+03 -0.164668E+01  0.573106E+01
0.396096E+03 -0.164758E+01  0.573451E+01
0.396897E+03 -0.164871E+01  0.573752E+01
0.397698E+03 -0.165013E+01  0.574005E+01
0.398498E+03 -0.165186E+01  0.574210E+01
0.399299E+03 -0.165387E+01  0.574368E+01
0.400100E+03 -0.165613E+01  0.574481E+01
0.400901E+03 -0.165861E+01  0.574552E+01
0.401702E+03 -0.166127E+01  0.574581E+01
0.402503E+03 -0.166410E+01  0.574572E+01
0.403303E+03 -0.166705E+01  0.574527E+01
0.404104E+03 -0.167010E+01  0.574447E+01
0.404905E+03 -0.167322E+01  0.574334E+01
0.405706E+03 -0.167638E+01  0.574190E+01
0.406507E+03 -0.167954E+01  0.574018E+01
0.407307E+03 -0.168268E+01  0.573820E+01
0.408108E+03 -0.168577E+01  0.573596E+01
0.408909E+03 -0.168877E+01  0.573351E+01
0.409710E+03 -0.169166E+01  0.573085E+01
0.410511E+03 -0.169440E+01  0.572800E+01
0.411311E+03 -0.169697E+01  0.572499E+01
0.412112E+03 -0.169933E+01  0.572184E+01
0.412913E+03 -0.170146E+01  0.571856E+01
0.413714E+03 -0.170332E+01  0.571518E+01
0.414515E+03 -0.170492E+01  0.571170E+01
0.415315E+03 -0.170625E+01  0.570811E+01
0.416116E+03 -0.170733E+01  0.570441E+01
0.416917E+03 -0.170816E+01  0.570059E+01
0.417718E+03 -0.170876E+01  0.569665E+01
0.418519E+03 -0.170914E+01  0.569258E+01
0.419319E+03 -0.170930E+01  0.568837E+01
0.420120E+03 -0.170926E+01  0.568403E+01
0.420921E+03 -0.170902E+01  0.567953E+01
0.421722E+03 -0.170859E+01  0.567488E+01
0.422523E+03 -0.170798E+01  0.567008E+01
0.423323E+03 -0.170721E+01  0.566511E+01
0.424124E+03 -0.170628E+01  0.565997E+01
0.424925E+03 -0.170519E+01  0.565465E+01
0.425726E+03 -0.170397E+01  0.564915E+01
0.426527E+03 -0.170261E+01  0.564346E+01
0.427327E+03 -0.170113E+01  0.563758E+01
0.428128E+03 -0.169954E+01  0.563149E+01
0.428929E+03 -0.169784E+01  0.562521E+01
0.429730E+03 -0.169605E+01  0.561871E+01
0.430531E+03 -0.169418E+01  0.561199E+01
0.431331E+03 -0.169222E+01  0.560505E+01
0.432132E+03 -0.169021E+01  0.559788E+01
0.432933E+03 -0.168813E+01  0.559047E+01
0.433734E+03 -0.168601E+01  0.558282E+01
0.434535E+03 -0.168384E+01  0.557493E+01
0.435335E+03 -0.168165E+01  0.556678E+01
0.436136E+03 -0.167944E+01  0.555838E+01
0.436937E+03 -0.167722E+01  0.554971E+01
0.437738E+03 -0.167499E+01  0.554077E+01
0.438539E+03 -0.167278E+01  0.553155E+01
0.439339E+03 -0.167057E+01  0.552205E+01
0.440140E+03 -0.166840E+01  0.551226E+01
0.440941E+03 -0.166626E+01  0.550218E+01
0.441742E+03 -0.166417E+01  0.549180E+01
0.442543E+03 -0.166213E+01  0.548111E+01
0.443343E+03 -0.166015E+01  0.547011E+01
0.444144E+03 -0.165825E+01  0.545879E+01
0.444945E+03 -0.165643E+01  0.544715E+01
0.445746E+03 -0.165470E+01  0.543518E+01
0.446547E+03 -0.165307E+01  0.542288E+01
0.447347E+03 -0.165155E+01  0.541023E+01
0.448148E+03 -0.165014E+01  0.539724E+01
0.448949E+03 -0.164887E+01  0.538389E+01
0.449750E+03 -0.164774E+01  0.537019E+01
0.450551E+03 -0.164675E+01  0.535612E+01
0.451351E+03 -0.164591E+01  0.534168E+01
0.452152E+03 -0.164525E+01  0.532686E+01
0.452953E+03 -0.164476E+01  0.531167E+01
0.453754E+03 -0.164445E+01  0.529608E+01
0.454555E+03 -0.164433E+01  0.528010E+01
0.455355E+03 -0.164442E+01  0.526372E+01
0.456156E+03 -0.164472E+01  0.524693E+01
